State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound.1,90% CI Upper Bound.1,Poverty Estimate Under Age 18,90% CI Lower Bound.2,90% CI Upper Bound.2,Poverty Percent Under Age 18,90% CI Lower Bound.3,90% CI Upper Bound.3,Poverty Estimate Ages 5-17,90% CI Lower Bound.4,90% CI Upper Bound.4,Poverty Percent Ages 5-17,90% CI Lower Bound.5,90% CI Upper Bound.5,Median Household Income,90% CI Lower Bound.6,90% CI Upper Bound.6,Poverty Estimate Ages 0-4,90% CI Lower Bound.7,90% CI Upper Bound.7,Poverty Percent Ages 0-4,90% CI Lower Bound.8,90% CI Upper Bound.8,Year
01,123.0,AL,Tallapoosa County,7725,6175,9275,18.8,15,22.6,2699,2147,3251,29.8,23.7,35.9,1776,1359,2193,27,20.7,33.3,37686,35064,40308,,,,,,,10
01,125.0,AL,Tuscaloosa County,37718,34040,41396,20.2,18.2,22.2,10967,9464,12470,26.6,23,30.2,7569,6391,8747,25.7,21.7,29.7,42086,39722,44450,,,,,,,10
01,127.0,AL,Walker County,14511,12553,16469,22.1,19.1,25.1,4354,3636,5072,29.7,24.8,34.6,2805,2246,3364,25.9,20.7,31.1,35423,33022,37824,,,,,,,10
01,129.0,AL,Washington County,3238,2536,3940,18.9,14.8,23,1171,898,1444,27.4,21,33.8,729,536,922,22.3,16.4,28.2,39203,35807,42599,,,,,,,10
01,131.0,AL,Wilcox County,4536,3680,5392,39.9,32.4,47.4,1538,1196,1880,51.2,39.8,62.6,1050,802,1298,44.8,34.2,55.4,20990,19276,22704,,,,,,,10
01,133.0,AL,Winston County,4754,3725,5783,19.8,15.5,24.1,1579,1198,1960,30.3,23,37.6,1110,831,1389,28.6,21.4,35.8,31018,28288,33748,,,,,,,10
02,0.0,AK,Alaska,76021,72599,79443,10.8,10.3,11.3,27192,25130,29254,14.7,13.6,15.8,17857,16000,19714,13.6,12.2,15,65699,64147,67251,8473.0,7472.0,9474.0,15.8,13.9,17.7,10
02,13.0,AK,Aleutians East Borough,562,453,671,17.8,14.4,21.2,63,48,78,17.5,13.3,21.7,41,30,52,16,11.8,20.2,51289,47291,55287,,,,,,,10
02,16.0,AK,Aleutians West Census Area,532,422,642,10.1,8,12.2,69,52,86,9.2,6.9,11.5,43,31,55,7.9,5.6,10.2,59362,53579,65145,,,,,,,10
02,20.0,AK,Anchorage Borough,24409,21428,27390,8.5,7.5,9.5,9122,7607,10637,12.2,10.2,14.2,6136,5021,7251,11.7,9.6,13.8,71237,68073,74401,,,,,,,10
02,50.0,AK,Bethel Census Area,4028,3361,4695,23.5,19.6,27.4,1885,1467,2303,30.3,23.6,37,1201,874,1528,27.5,20,35,43314,39954,46674,,,,,,,10
02,60.0,AK,Bristol Bay Borough,92,72,112,9.1,7.2,11,26,19,33,11.2,8.2,14.2,17,12,22,9.2,6.4,12,61905,55626,68184,,,,,,,10
02,68.0,AK,Denali Borough,107,82,132,5.8,4.4,7.2,32,23,41,7.9,5.8,10,20,14,26,6.6,4.6,8.6,68899,62469,75329,,,,,,,10
02,70.0,AK,Dillingham Census Area,1054,829,1279,21.3,16.8,25.8,438,327,549,27.4,20.4,34.4,276,195,357,24.6,17.3,31.9,46427,41723,51131,,,,,,,10
02,90.0,AK,Fairbanks North Star Borough,9045,7547,10543,9.5,7.9,11.1,2717,2108,3326,11,8.5,13.5,1729,1296,2162,10.3,7.7,12.9,64396,60499,68293,,,,,,,10
02,100.0,AK,Haines Borough,286,217,355,11.2,8.5,13.9,87,64,110,17.2,12.6,21.8,57,40,74,14.9,10.4,19.4,51350,46220,56480,,,,,,,10
02,105.0,AK,Hoonah-Angoon Census Area,390,300,480,18.5,14.2,22.8,104,76,132,24.6,18.1,31.1,69,49,89,23.2,16.5,29.9,40896,36784,45008,,,,,,,10
02,110.0,AK,Juneau Borough,2363,1809,2917,7.5,5.7,9.3,762,564,960,10.4,7.7,13.1,474,338,610,8.9,6.3,11.5,74219,68798,79640,,,,,,,10
02,122.0,AK,Kenai Peninsula Borough,5812,4734,6890,10.6,8.6,12.6,1810,1368,2252,13.9,10.5,17.3,1191,870,1512,12.6,9.2,16,60360,56570,64150,,,,,,,10
02,130.0,AK,Ketchikan Gateway Borough,1551,1258,1844,11.6,9.4,13.8,474,352,596,15.1,11.2,19,305,218,392,13.8,9.9,17.7,59092,53959,64225,,,,,,,10
02,150.0,AK,Kodiak Island Borough,1319,1079,1559,9.6,7.8,11.4,414,311,517,10.8,8.1,13.5,256,182,330,9.5,6.8,12.2,66935,61548,72322,,,,,,,10
02,164.0,AK,Lake and Peninsula Borough,272,209,335,16.4,12.6,20.2,106,77,135,22,16.1,27.9,69,48,90,20.2,14.1,26.3,47612,44403,50821,,,,,,,10
02,170.0,AK,Matanuska-Susitna Borough,10491,8795,12187,11.6,9.7,13.5,3767,2991,4543,14.7,11.7,17.7,2510,1955,3065,13.3,10.4,16.2,68999,64697,73301,,,,,,,10
02,180.0,AK,Nome Census Area,2542,2171,2913,26.4,22.6,30.2,1070,855,1285,32.2,25.7,38.7,695,530,860,30.5,23.3,37.7,44766,41245,48287,,,,,,,10
02,185.0,AK,North Slope Borough,1086,824,1348,11.5,8.7,14.3,321,237,405,14.1,10.4,17.8,202,143,261,13.2,9.4,17,73744,66696,80792,,,,,,,10
02,188.0,AK,Northwest Arctic Borough,1835,1562,2108,23.9,20.4,27.4,749,605,893,27.8,22.5,33.1,473,365,581,26.6,20.5,32.7,54680,50381,58979,,,,,,,10
02,195.0,AK,Petersburg Census Area,408,315,501,10.6,8.2,13,125,91,159,14.4,10.5,18.3,82,57,107,12.8,9,16.6,54434,48885,59983,,,,,,,10
02,198.0,AK,Prince of Wales-Hyder Census Area,980,765,1195,17.1,13.3,20.9,329,243,415,23.1,17.1,29.1,214,152,276,21.2,15,27.4,42649,38517,46781,,,,,,,10
02,220.0,AK,Sitka Borough,737,563,911,8.4,6.4,10.4,217,158,276,10.7,7.8,13.6,138,97,179,10,7,13,61956,56328,67584,,,,,,,10
02,230.0,AK,Skagway Municipality,43,33,53,4.6,3.5,5.7,13,9,17,9.4,6.8,12,9,6,12,10.2,7.2,13.2,61025,54791,67259,,,,,,,10
02,240.0,AK,Southeast Fairbanks Census Area,988,767,1209,13.9,10.8,17,363,269,457,19.6,14.5,24.7,234,167,301,17.4,12.4,22.4,55617,50699,60535,,,,,,,10
02,261.0,AK,Valdez-Cordova Census Area,900,704,1096,9.3,7.3,11.3,266,198,334,11.3,8.4,14.2,164,115,213,9.7,6.8,12.6,63887,57593,70181,,,,,,,10
02,270.0,AK,Wade Hampton Census Area,2570,2146,2994,33.6,28.1,39.1,1294,1009,1579,41.5,32.4,50.6,881,665,1097,40.5,30.6,50.4,33206,30885,35527,,,,,,,10
02,275.0,AK,Wrangell City and Borough,291,220,362,12.3,9.3,15.3,96,70,122,18.8,13.8,23.8,63,45,81,16.5,11.7,21.3,43120,39069,47171,,,,,,,10
02,282.0,AK,Yakutat Borough,83,63,103,12.8,9.8,15.8,26,19,33,17.1,12.5,21.7,17,12,22,15.6,10.9,20.3,47575,42656,52494,,,,,,,10
02,290.0,AK,Yukon-Koyukuk Census Area,1245,991,1499,22.1,17.6,26.6,445,335,555,28.7,21.6,35.8,291,210,372,26.4,19.1,33.7,33578,30314,36842,,,,,,,10
04,0.0,AZ,Arizona,1201376,1176529,1226223,19,18.6,19.4,434571,420527,448615,27.2,26.3,28.1,294963,282593,307333,25.7,24.6,26.8,46710,46173,47247,132554.0,125574.0,139534.0,29.9,28.3,31.5,10
04,1.0,AZ,Apache County,26096,23485,28707,36.5,32.8,40.2,9892,8512,11272,43.9,37.8,50,6558,5492,7624,40,33.5,46.5,30837,28620,33054,,,,,,,10
04,3.0,AZ,Cochise County,24723,21022,28424,19.6,16.7,22.5,9183,7482,10884,30.8,25.1,36.5,6183,4897,7469,29.3,23.2,35.4,41237,39049,43425,,,,,,,10
04,5.0,AZ,Coconino County,27316,24007,30625,21.6,19,24.2,8200,6820,9580,26.8,22.3,31.3,5749,4713,6785,26.5,21.7,31.3,45051,41968,48134,,,,,,,10
04,7.0,AZ,Gila County,13374,11516,15232,25.7,22.1,29.3,4184,3421,4947,37.7,30.8,44.6,2970,2394,3546,37.6,30.3,44.9,35898,33888,37908,,,,,,,10
